title,year,venue,music,lyrics,book,notes
Diamonds,1984,Off-Broadway,"Gerard Alessandrini, Craig Carnelia, Cy Coleman, Larry Grossman, John Kander, Doug Katsaros, Alan Menken, Jonathan Sheffer, Lynn Udall, Albert Von Tilzer, Jim Wann","Gerard Alessandrini, Howard Ashman, Craig Carnelia, Betty Comden, Fred Ebb, Ellen Fitzhugh, Adolph Green, Karl Kennett, Jack Norworth, Jim Wann, David Zippel","Bud Abbott, Ralph G. Allen, Roy Blount, Jr., Richard Camp, Jerry L. Crawford, Lou Costello, Lee Eisenberg, Jim Wann, John Lahr, Arthur Masella, Harry Stein, John Weidman, Alan Zweibel",
Dick Tracy,1990,Film,"Madonna, Patrick Leonard, Stephen Sondheim, Michael Kernan, Andy Paley, Jeff Lass, Ned Claflin, Jonathan Paley, Shep Pettibone, Danny Elfman","Madonna, Stephen Sondheim, Andy Paley","Jim Cash, Jack Epps, Jr.",Based on the comic strip of the same name by Chester Gould.
Different Times,1972,Broadway,Michael Brown,Michael Brown,Michael Brown,
Dimples,1936,Film,Jimmy McHugh,Ted Koehler,Nat Perrinn and Arthur Sheekman,
Dirty Rotten Scoundrels,2004,Broadway,David Yazbek,David Yazbek,Jeffrey Lane,Based on the film of the same name by Frank Oz.
Disco Inferno,,West End,various,various,,
The District Leader,1906,Broadway,Joseph E. Howard,Joseph E. Howard,Joseph E. Howard,
"Divorce Me, Darling!",1965,West End,Sandy Wilson,Sandy Wilson,Sandy Wilson,Sequel to the musical The Boy Friend by Sandy Wilson.
Les Dix Commandements,2000,French musical,Pascal Obispo,Lionel Florence and Patrice Guirao,Élie Chouraqui and Pascal Obispo,
Dixiana,1930,Film,Max Steiner,,Luther Reed,
Dixie,1943,Film,Jimmy Van Heusen,Johnny Burke,"Karl Tunberg, Darrell Ware, Claude Binyon",
Do Black Patent Leather Shoes Really Reflect Up?,1979,Broadway,James Quinn and Alaric Jans,James Quinn and Alaric Jans,John R. Powers,
Do I Hear a Waltz?,1965,Broadway,Richard Rodgers,Stephen Sondheim,Arthur Laurents,Based on the play The Time of the Cuckoo by Arthur Laurents.
Do Re Mi,1960,Broadway,Jule Styne,Betty Comden and Adolph Green,Garson Kanin,
Doctor Dolittle,1967,Film,"Leslie Bricusse, Lionel Newman, Alexander Courage",Leslie Bricusse,Leslie Bricusse,"Notable song: ""Talk to the Animals""."
Doctor Zhivago,2011,Sydney,Lucy Simon,Michael Korie and Amy Powers,Michael Weller,Based on the novel of the same name by Boris Pasternak.
Dogfight,2012,Off-Broadway,Pasek and Paul,Pasek and Paul,Peter Duchan,Based on the film of the same name by Nancy Savoca.
Doll,,,Scott Frankel,Michael Korie,Michael Korie,
Doll Face,1945,Film,"Jimmy McHugh, Lionel Newman (The Parisian Trot)","Harold Adamson, Charles E. Henderson (The Parisian Trot)",Harold Buchman,Based on the play The Naked Genius by Gypsy Rose Lee.
Die Dollarprinzessin,1907,Operetta,Leo Fall,Alfred Maria Willner and Fritz Grünbaum,Alfred Maria Willner and Fritz Grünbaum,
A Doll's Life,1982,Broadway,Larry Grossman,Betty Comden and Adolph Green,Betty Comden and Adolph Green,Based on the play A Doll's House by Henrik Ibsen.
The Dolly Sisters,1945,Film,,,John Larkin and Marian Spitzer,
Donnybrook!,1961,Broadway,Johnny Burke,Johnny Burke,Robert E. McEnroe,Based on the film The Quiet Man by John Ford.
"Don't Bother Me, I Can't Cope",1971,Broadway,Micki Grant,Micki Grant,,
Don't Play Us Cheap,1972,Broadway,Melvin Van Peebles,Melvin Van Peebles,Melvin Van Peebles,
Doonesbury,1983,Broadway,Elizabeth Swados,Garry Trudeau,Garry Trudeau,Based on the comic strip of the same name by Garry Trudeau.
Double or Nothing,1937,Film,"Burton Lane, Arthur Johnston, Johnny Burke, John Leipold, Victor Young, Al Siegel, Sam Coslow, Sanford Green","Burton Lane, Ralph Freed, Johnny Burke, Irving Kahal","Duke Atteberry, Erwin Gelsey, John Moffitt, Charles Lederer",
Double Trouble,1967,Film,Various Artists,Various Artists,Jo Heims,Stars Elvis Presley
Down Argentine Way,1940,Film,Harry Warren and Jimmy McHugh,Mack Gordon and Al Dubin,"Rian James, Ralph Spence, Karl Tunberg, Karl Tunberg, Darrell Ware",
Down to Earth,1947,Film,George Duning and Heinz Eric Roemheld,,"Harry Segall, Edwin Blum",Sequel to the film Here Comes Mr. Jordan by Alexander Hall.
Dr. Seuss' How the Grinch Stole Christmas! The Musical,1994,Broadway,Mel Marvin and Albert Hague,Timothy Mason and Dr. Seuss,Timothy Mason,Based on the children's story of the same name by Dr. Seuss.
Dracula – Entre l'amour et la mort,2006,Quebec,Simon Leclerc,Roger Tabra,Bruno Pelletier and Richard Ouzounian,
"Dracula, the Musical",2001,Broadway,Frank Wildhorn,Don Black and Christopher Hampton,Black and Hampton,Based on the novel of the same name by Bram Stoker.
Dragons,2003,,Sheldon Harnick,Harnick,Harnick,
Drat! The Cat!,1965,Broadway,Milton Schafer,Ira Levin,Levin,"Notable song: ""She Touched Me""."
Dream House,1932,Film,,,,
Dream True,2004,,Ricky Ian Gordon,Ricky Ian Gordon,Ricky Ian Gordon,
Dreamgirls,1981,Broadway,Henry Krieger,Tom Eyen,Tom Eyen,"Semi-based on The Supremes. Notable song: ""And I Am Telling You I'm Not Going""."
Dreams Come True,1936,Film,"Franz Lehár, Colin Wark, Ben Frankel",Bruce Sevier,Donald Bull,
Die Drei von der Tankstelle,1930,Film,Werner R. Heymann,,Franz Schulz and Paul Frank,
The Drowsy Chaperone,2006,Broadway,Lisa Lambert and Greg Morrison,Lisa Lambert and Greg Morrison,Bob Martin and Don McKellar,
Dreamboats and Petticoats,2009,West End,Various,Various,Laurence Marks and Maurice Gran,Based on the compilation album of the same name.
Dr. Horrible's Sing-Along Blog,2008,Web miniseries,"Joss Whedon, Maurissa Tancharoen, Jed Whedon","Joss Whedon, Maurissa Tancharoen, Jed Whedon","Joss Whedon, Zack Whedon, Maurissa Tancharoen, Jed Whedon",
DuBarry Was a Lady,1939,Broadway,Cole Porter,Cole Porter,Herbert Fields and Buddy DeSylva,"Notable song: ""Friendship."""
The Duchess of Dantzic,1903,London comic opera,Ivan Caryll,Henry Hamilton,Henry Hamilton,Based on the play Madame Sans-Gêne by Victorien Sardou and Émile Moreau.
Duchess of Idaho,1950,Film,"Al Rinker, Floyd Huddleston, Henry Nemo, Lee Pearl","Al Rinker, Floyd Huddleston, Henry Nemo, Lee Pearl","Dorothy Cooper, Jerry Davis, Sid Fields",
Duck Soup,1933,Film,Harry Ruby,Bert Kalmar,"Harry Ruby, Bert Kalmar, Arthur Sheekman, Nat Perrin",
Dude,1972,Broadway,Galt MacDermot,Gerome Ragni,Gerome Ragni,
Ed Gardner's Duffy's Tavern,1945,Film,,,Abe Burrows and Matt Brook,Based on the radio series of the same name.
Dumbo,1941,Film,Frank Churchill and Oliver Wallace,Frank Churchill and Oliver Wallace,"Otto Englander, Joe Grant, Dick Huemer","Based on the children story the same name. Notable song: ""Baby Mine""."
Dusty – The Original Pop Diva,2005,Australian musical,various,various,"John-Michael Howson, David Mitchell, Melvyn Morrow",Jukebox musical based on songs by Dusty Springfield.
Eadie Was a Lady,1945,Musical film,George Duning,Marlin Skiles,Monte Brice,Based on the musical Take a Chance.
Ebenezer Scrooge,2015,British Musical,Paul Flynn and John Reddel,Paul Flynn,Paul Flynn,
The Earl and the Girl,1903,West End,Ivan Caryll,Percy Greenbank,Seymour Hicks,
Earl Carroll Vanities of 1931,1931,Broadway,Burton Lane,Harold Adamson,Ralph Spence and Eddie Welch,
Earl of Ruston,1971,Broadway,Peter Link,C.C. Courtney and Ragan Courtney,Courtney and Courtney,
Early to Bed,1943,Broadway,Fats Waller,"George Marion, Jr.","Marion, Jr.",
Earth Girls Are Easy,1988,Musical film,Ray Colcord and Nile Rodgers,Julie Brown,"Brown, Charlie Coffey and Terrence E. McNally",
The East Side of Heaven,1939,Musical film,Frank Skinner,Skinner,William Conselman and James V. Kern,
Easter Parade,1948,Musical film,"Johnny Green, Roger Edens and Irving Berlin",Berlin,"Sidney Sheldon, Frances Goodrich and Albert Hackett",
Easter Rising,2004,Off-Broadway,Michael Arden,Arden,Isaac Oliver,
Easy to Love,1953,Musical film,Georgie Stoll,Robert Van Eps,László Vadnay and William Roberts,
Eating Raoul,1992,Off-Broadway,Jed Feuer,Boyd Graham,Paul Bartel and Richard Blackburn,Based on the movie of the same name.
Ed Wynn Carnival,1920,Broadway revue,Ed Wynn,Wynn,Wynn,
The Eddie Cantor Story,1954,Musical film,David Buttolph,Buttolph,"Ted Sherdeman, Sidney Skolsky and Jerome Weidman",
The Eddy Duchin Story,1956,Musical film,George Duning,Duning,Samuel A. Taylor,
The Education of H*Y*M*A*N K*A*P*L*A*N,1968,Broadway,Oscar Brand and Paul Nassau,Brand and Nassau,Benjamin Bernard Zavin,
Eileen,1917,Broadway,Victor Herbert,Henry Blossom,Blossom,
Einbrecher,1930,Musical film,Friedrich Hollaender and Franz Waxman,Hollaender and Waxman,Robert Liebmann,
Elegies,2003,Off-Broadway revue,William Finn,Finn,Finn,
"Elegies for Angels, Punks and Raging Queens",1993,Off-Broadway,Janet Hood,Bill Russell,Russell,
Elf,2010,Broadway,Matthew Sklar,Chad Beguelin,Bob Martin and Thomas Meehan,Based on the 2003 Christmas film of the same name.
Elisabeth,1992,Austrian musical,Sylvester Levay,Michael Kunze,Kunze,Based on the life of Empress Elisabeth of Austria.
Elixier,1997,German musical,Tobias Künzel and Wolfgang Lenk,Kati Naumann,Horst Königstein,
Elsie,1923,Broadway,George Gershwin,Ira Gershwin,Charles W. Bell,Originally entitled A Dangerous Maid.
Emir,2010,Musical film,"Chino Toledo, Vin Dancel and Ebe Dancel",Diwa de Leon and Gary Granada,Jerry Gracio,
The Emperor Waltz,1948,Musical film,Victor Young,Young,Billy Wilder and Charles Brackett,
Enchanted,2007,Musical film,Alan Menken,Stephen Schwartz,Bill Kelly,"Disney film starring Amy Adams, Patrick Dempsey and James Marsden."
The Enchantress,1911,Broadway,Victor Herbert,Fred de Gresac and Harry B. Smith,de Gresac and Smith,
Erminie,1885,Off-West End,Edward Jakobowski,Claxson Bellamy and Harry Paulton,N/A,
Ernest in Love,1960,Off-Broadway,Lee Pockriss,Anne Croswell,Croswell,
Eubie!,1978,Broadway revue,Eubie Blake,"Noble Sissle, Andy Razaf, Johnny Brandon, F. E. Miller and Jim Europe",N/A,
"Evangeline, or The Belle of Acadia",1874,Broadway,Edward E. Rice,J. Cheever Goodwin,Goodwin,
Evening Primrose,1966,Television musical,Stephen Sondheim,Sondheim,James Goldman,
An Evening with Beatrice Lillie,1952,Broadway revue,Various,Various,N/A,
An Evening with Max Morath at the Turn of the Century,1969,Off-Broadway revue,Various,Various,N/A,
Ever Green,1930,West End,Richard Rodgers,Lorenz Hart,Benn Levy,
Every Night at Eight,1935,Musical film,Frederick Hollander and Paul Mertz,Clifford Vaughan,C. Graham Barker and Stanley Garvey,
Everybody Sing,1938,Musical film,William Axt,Axt,"Florence Ryerson, Edgar Allan Woolf and James Gruen",
Everybody's Welcome,1931,Broadway,Sammy Fain,Irving Kahal,Lambert Carroll,
Everyday Rapture,2009,Broadway,Various,Various,Sherie Rene Scott and Dick Scanlan,
Everyone Says I Love You,1996,Musical film,Dick Hyman,Hyman,Woody Allen,
Everything I Have is Yours,1952,Musical film,David Rose,Rose,Ruth Brooks Flippen and George Wells,
Everything Is Rhythm,1936,Musical film,N/A,N/A,Jack Byrd and Syd Courtenay,
Evie and the Birdman,2001,Australian musical,John Field,Field,Field,
Evil Dead: The Musical,2003,Canadian musical,"Christopher Bond, Frank Cipolla, Melissa Morris and George Reinblatt",Reinblatt,Reinblatt,
Evita,1978,West End,Andrew Lloyd Webber,Tim Rice,Lloyd Webber and Rice,"Based on Eva Perón. Notable songs: ""Don't Cry for Me, Argentina"" and ""Another Suitcase in Another Hall"". An additional song, ""You Must Love Me"", was added to the film."
Falsettoland,1990,Off-Broadway,William Finn,Finn,James Lapine,Later become half of Falsettos.
Falsettos,1992,Broadway,William Finn,Finn,James Lapine and Finn,
Fame,1988,Off-Broadway,Steve Margoshes,Jacques Levy,Jose Fernandez,Based on the 1980 film version.
Fancy Nancy the Musical,2012,Off-Broadway,Danny Abosch,Susan DiLallo and Abosch,DiLallo,
Fanny,1954,Broadway,Harold Rome,Rome,S. N. Behrman and Joshua Logan,
The Fantasticks,1960,Off-Broadway,Harvey Schmidt,Tom Jones,Jones,"Notable songs: ""Try to Remember"" and ""Soon It's Gonna Rain""."
Fellowship!,2004,Off-Broadway,Allen Simpson,Various,Kelly Holden-Bashar and Joel McCrary,A Tolkien parody.
Fiddler on the Roof,1964,Broadway,Jerry Bock,Sheldon Harnick,Joseph Stein,"Notable songs: ""Tradition"", ""If I Were a Rich Man"" and ""Matchmaker, Matchmaker""."
The Fields of Ambrosia,1996,Canadian musical,Martin Silvestri,Joel Higgins,Higgins,Based on the 1970 film The Traveling Executioner.
Finding Nemo – The Musical,2007,Disney musical,Robert Lopez,Kristen Anderson-Lopez,Peter Brosius,
Fings Ain't Wot They Used T'Be,1959,West End,Lionel Bart,Bart,Frank Norman,
Finian's Rainbow,1947,Broadway,Burton Lane,E. Y. Harburg,Harburg and Fred Saidy,"Notable songs: ""How are Things in Glocca Morra?"" and ""Old Devil Moon""."
Fiorello!,1959,Broadway,Jerry Bock,Sheldon Harnick,Jerome Weidman and George Abbott,"Notable song: ""Little Tin Box""."
First Date,2013,Broadway,Alan Zachary and Michael Weiner,Zachary and Weiner,Austin Winsberg,
First Impressions,1959,Broadway,"George Weiss, Robert Goldman and Glenn Paxton","Weiss, Goldman and Paxton",Abe Burrows,Based on Jane Austen's novel Pride and Prejudice.
First Lady Suite,1993,Off-Broadway,Michael John LaChiusa,,,
Five Guys Named Moe,1990,West End,Louis Jordan,Jordan,Clarke Peters,
The Five O'Clock Girl,1928,Broadway,Harry Ruby,Bert Kalmar,Guy Bolton and Fred Thompson,
The Fix,1997,West End,Dana P. Rowe,John Dempsey,John Dempsey,
Flahooley,1951,Broadway,Sammy Fain,E.Y. Harburg,Harburg and Fred Saidy,
Flashdance the Musical,2008,West End,Robbie Roth,Roth and Robert Cary,Tom Hedley and Cary,Based on the film Flashdance
Flora the Red Menace,1965,Broadway,John Kander,Fred Ebb,George Abbott and Robert W. Russell,Noted for Broadway debut of Liza Minnelli.
Florodora,1899,West End,Leslie Stuart and Paul Rubens,Rubens and Edward Boyd-Jones,Owen Hall,
Flower Drum Song,1958,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II and Joseph Fields,"Notable songs: ""I Enjoy Being a Girl"" and ""Love, Look Away""."
Floyd Collins,1996,Off-Broadway,Adam Guettel,Guettel and Tina Landau,Landau,
Flying High,1930,Broadway,Ray Henderson,B. G. DeSylva and Lew Brown,"Brown, DeSylva, and John McGowan",
Follies,1971,Broadway,Stephen Sondheim,Sondheim,James Goldman,"Notable songs: ""Broadway Baby"", ""I'm Still Here"" and ""Losing My Mind""."
Follow That Girl,1960,West End,Julian Slade and Dorothy Reynolds,Slade and Reynolds,Slade and Reynolds,
Follow the Boys,1963,Musical film,Various,Various,Lou Breslow and Gertrude Purcell,
Follow the Girls,1944,Broadway,"Phil Charig, Dan Shapiro and Milton Pascal","Charig, Shapiro and Pascal",Guy Bolton and Fred Thompson,
Follow Thru,1929,Broadway,Ray Henderson,B. G. DeSylva and Lew Brown,DeSylva and Lawrence Schwab,
Footloose,1998,Broadway,Tom Snow,Dean Pitchford,Pitchford and Walter Bobbie,Based on the 1984 film version.
Forever Plaid,1990,Off-Broadway,Various,Various,Stuart Ross,
Forbidden Zone,1980,Musical film,Danny Elfman,Elfman,Richard Elfman,
Forbidden Broadway,1982,Off-Broadway revue,Various,Gerard Alessandrini,Alessandrini,
Fosse,1999,Broadway revue,Various,Various,N/A,
The Four Musketeers,1967,West End,Laurie Johnson,Herbert Kretzmera,Michael Pertwee,
Foxy,1964,Broadway,Robert Emmett Dolan,Johnny Mercer,Ian McLellan Hunter and Ring Lardner Jr.,Based on Ben Jonson's play Volpone.
Frankenstein – A New Musical,2007,Off-Broadway,Mark Baron,Jefferey Jackson,Jackson and Gary P Cohen,
Free as Air,1957,West End,Julian Slade,Dorothy Reynolds and Slade,Reynolds and Slade,
The Frogs,2004,Broadway,Stephen Sondheim,Sondheim,Burt Shevelove and Nathan Lane,Originally performed in Yale University's gymnasium's swimming pool in 1974.
From Generation to Generation,1996,Off-Broadway,Karen Sokolof Javitch,Sokolof Javitch,Sokolof Javitch and Elaine Jabenis,
From Here to Eternity,2013,West End,Stuart Brayson,Tim Rice,Bill Oakes,
From Justin to Kelly,2003,Musical film,Greg Siff,Michael Wandmacher,Kim Fuller,
Frozen,2013,Musical Animated film,Robert Lopez and Kristen Anderson-Lopez,Lopez and Anderson-Lopez,Jennifer Lee,"Starred Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad and Santino Fontana."
The Full Monty,2000,Broadway,David Yazbek,Yazbek,Terrence McNally,Based on the 1997 film version.
Fun Home (musical),2000,Off-Broadway & Broadway,Jeanine Tesori,Lisa Kron,Lisa Kron,Based on the 2006 graphic memoir Fun Home by Alison Bechdel.
Funny Face,1927,Broadway,George Gershwin,Ira Gershwin,Paul Gerard Smith and Fred Thompson,
Funny Girl,1964,Broadway,Jule Styne,Bob Merrill,Isobel Lennart,"Notable songs: ""People"" and ""Don't Rain on My Parade""."
Funny Lady,1975,Musical film,John Kander,Fred Ebb,Jay Presson Allen and Arnold Schulman,
A Funny Thing Happened on the Way to the Forum,1962,Broadway,Stephen Sondheim,Sondheim,Burt Shevelove and Larry Gelbart,"Notable song: ""Comedy Tonight""."
Gay Divorce,1932,Broadway,Cole Porter,Porter,Dwight Taylor,"Notable song: ""Night and Day""."
The Gay Life,1961,Broadway,Arthur Schwartz,Howard Dietz,Fay Kanin and Michael Kanin,Based on The Affairs of Anatol by Arthur Schnitzler.
Gay Purr-ee,1962,Animated film,Harold Arlen,E.Y. Harburg,Dorothy Webster Jones and Chuck Jones,
A Gentleman's Guide to Love and Murder,2013,Broadway,Steven Lutvak,Robert L. Freedman and Lutvak,Freedman,
Gentlemen Prefer Blondes,1949,Broadway,Jule Styne,Leo Robin,Joseph Fields and Anita Loos,"Notable song: ""Diamonds are a Girl's Best Friend""."
George M!,1968,Broadway,George Cohan (revised Mary Cohan),George Cohan,"Michael Stewart, John Pascal and Francine Pascal","Notable song: ""Yankee Doodle Dandy""."
Get Used to It!,1992,Off-Broadway revue,Tom Wilson Weinberg,Wilson Weinberg,Wilson Weinberg,
Ghost Brothers of Darkland County,2012,Touring production,John Mellencamp,Mellencamp,Stephen King,
Ghost the Musical,2011,West End,Dave Stewart and Glen Ballard,"Steward, Ballard and Bruce Joel Rubin",Rubin,
Gigi,1958,Musical film,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable song: ""Thank Heaven for Little Girls""."
The Girl Behind the Gun,1918,Broadway,Ivan Caryll,Guy Bolton and P. G. Wodehouse,Bolton and Wodehouse,Revised as Kissing Time in London.
Girl Crazy,1930,Broadway,George Gershwin,Ira Gershwin,Guy Bolton and John McGowan,"Notable song: ""I've Got Rhythm""."
The Girl Who Came to Supper,1963,Broadway,Noël Coward,Coward,Harry Kurnitz,
Glory Days,2008,Broadway,Nick Blaemire,Blaemire,James Gardiner,
Go into Your Dance,1935,Musical film,Harry Warren,Al Dubin,Bradford Ropes and Earl Baldwin,
Goblin Market,1985,Off-Broadway,Polly Pen,Christina Rossetti,Rossetti,
Godspell,1971,Off-Broadway,Stephen Schwartz,Schwartz and Episcopal Hymnal,John-Michael Tebelak,
The Golden Apple,1954,Off-Broadway,Jerome Moross,John Latouche,Latouche,Based on the Iliad and Odyssey of Homer.
Golden Boy,1964,Broadway,Charles Strouse,Lee Adams,Clifford Odets and William Gibson,
Golden Rainbow,1968,Broadway,Walter Marks,Marks,Ernest Kinoy,
Goldilocks,1958,Broadway,Leroy Anderson,"Jean Kerr, Joan Ford and Walter Kerr",Kerr and Kerr,
The Good Companions,1974,West End,André Previn,Johnny Mercer,Ronald Harwood,
Good News,1927,Broadway,Ray Henderson,B.G. DeSylva and Lew Brown,DeSylva and Laurence Schwab,
Good Vibrations,2005,Broadway,Brian Wilson and The Beach Boys,Wilson and The Beach Boys,Richard Dresser,
The Goodbye Girl,1993,Broadway,Marvin Hamlisch,David Zippel,Neil Simon,Based on the 1977 film version.
Grab Me a Gondola,1958,West End,James Gilbert,Gilbert and Julien More,More,
A Grand Night for Singing,1993,Broadway revue,Richard Rodgers,Oscar Hammerstein II,Walter Bobbie,
Grand Hotel,1989,Broadway,"Robert Wright, George Forrest and Maury Yeston","Wright, Forrest and Yeston",Luther Davis,
The Grand Tour,1979,Broadway,Jerry Herman,Herman,Michael Stewart and Mark Bramble,
The Grass Harp,1971,Broadway,Claibe Richardson,Kenward Elmslie,Elmslie,
Grease,1972,Broadway,Warren Casey and Jim Jacobs,Casey and Jacobs,Casey and Jacobs,"Notable songs: ""Summer Nights"", ""Greased Lightnin'"" and ""We Go Together"". The song ""Hopelessly Devoted to You"" was added to the film."
Grease 2,1982,Musical film,Louis St. Louis,St. Louis,Ken Finkleman,Sequel to the 1978 film adaptation.
The Great American Trailer Park Musical,2005,Off-Broadway,David Nehls,Nehls,Betsy Kelso,
Great Lady,1938,Broadway,Frederick Loewe,Earle Crooker,Crooker,
The Great Waltz,1934,Broadway,Johann Strauss I and Johann Strauss II,Desmond Carter,Moss Hart,Based on the Strauss family feud.
A Greek Slave,1898,West End,Sidney Jones and Lionel Monckton,Harry Greenbank and Adrian Ross,Owen Hall,
Greenwillow,1960,Broadway,Frank Loesser,Loesser,Lesser Samuels and Loesser,
Grey Gardens,2006,Off-Broadway,Scott Frankel,Michael Korie,Doug Wright,Adaptation of the 1975 documentary of the same name.
Grimm,2014,Off-Broadway,Thomas Zaufke,Peter Lund,Lund,Based on several fairy tales.
Grind,1985,Broadway,Larry Grossman,Ellen Fitzhugh,Fay Kanin,
Guys and Dolls,1950,Broadway,Frank Loesser,Loesser,Jo Swerling and Abe Burrows,"Notable songs: ""Luck Be a Lady"", ""A Bushel and a Peck"" and ""Sit Down, You're Rockin' the Boat""."
Gypsy,1959,Broadway,Jule Styne,Stephen Sondheim,Arthur Laurents,"Notable songs: ""Everything's Coming up Roses"" and ""Together Wherever We Go""."
Hair,1968,Broadway,Galt MacDermot,Gerome Ragni and James Rado,Ragni and Rado,"Notable song: ""Aquarius""."
Hairspray,2002,Broadway,Marc Shaiman,Scott Wittman and Shaiman,Mark O'Donnell and Thomas Meehan,"Notable song: ""You Can't Stop the Beat""."
Half a Sixpence,1963,West End,David Heneker,Heneker,Beverley Cross,
"Hallelujah, Baby!",1967,Broadway,Jule Styne,Betty Comden and Adolph Green,Arthur Laurents,
Hamilton,2015,Broadway,Lin-Manuel Miranda,Miranda,Miranda,Based on Alexander Hamilton by Ron Chernow
Hands on a Hardbody,2013,Broadway,Trey Anastasio and Amanda Green,Green,Doug Wright,
Hans Christian Andersen,1952,Musical film,Frank Loesser,Loesser,Myles Connolly and Moss Hart,
The Happiest Girl in the World,1961,Broadway,Jacques Offenbach,E.Y. Harburg,Fred Saidy,
The Happiest Millionaire,1967,Musical film,Richard M. Sherman and Robert B. Sherman,Sherman and Sherman,Cordelia Drexel Biddle and A.J. Carothers,"Notable song: ""Fortuosity""."
Happiness,2009,Off-Broadway,Scott Frankel,Michael Korie,John Weidman,
Happy Days,1919,Broadway,Raymond Hubbell,R. H. Burnside,Burnside,
Happy Days,2009,Off-Broadway,Paul Williams,Williams,Gary Marshall,
Happy End,1929,German musical,Kurt Weill,Bertolt Brecht,Elisabeth Hauptmann,"Notable songs: ""Bilbao Song"" and ""Sailor's Tango""."
Happy Go Lovely,1951,Musical film,Mischa Spoliansky,"Barbara Gordon, Mischa Spoliansky and Jack Fishman",,
Harmony,1996,Off-Broadway,Barry Manilow,Bruce Sussman,Bruce Sussman,"Notable song: ""Stars in the Night""."
Happy Hunting,1956,Broadway,Harold Karr,Matt Dubey,Howard Lindsay and Russel Crouse,"Notable songs: ""Mutual Admiration Society"" and ""A New-Fangled Tango""."
The Happy Time,1968,Broadway,John Kander,Fred Ebb,N. Richard Nash,
A Hard Day's Night,1964,Musical film,The Beatles and George Martin,The Beatles and Martin,Alun Owen,
The Harvey Girls,1946,Musical film,Harry Warren,Johnny Mercer,Eleanore Griffin and William Rankin,
The Hatpin,2005,Australian musical,Peter Rutherford,James Millar,Millar,
Hazel Flagg,1953,Broadway,Jule Styne,Bob Hilliard,Ben Hecht,
Heathers: The Musical,2014,Off-Broadway,Laurence O'Keefe and Kevin Murphy,O'Keefe and Murphy,O'Keefe and Murphy,
Hedwig and the Angry Inch,1998,Off-Broadway,Stephen Trask,Trask,John Cameron Mitchell,
Heart and Souls,1993,Fantasy-comedy,Ron Underwood,,,
"Hello, Dolly!",1964,Broadway,Jerry Herman,Herman,Michael Stewart,"Notable song: ""Hello, Dolly!""."
Hellzapoppin,1938,Broadway revue,Sammy Fain and Charles Tobias,Fain and Tobias,Harold Johnson and Ole Olsen,
Help!,1965,Musical film,"The Beatles, George Martin and Ken Thorne","The Beatles, Martin and Thorne",Charles Wood and Marc Behm,
"Henry, Sweet Henry",1967,Broadway,Bob Merrill,Merrill,Nunnally Johnson and Nora Johnson,
Her First Roman,1968,Broadway,Ervin Drake,Drake,Drake,
Hercules,1997,Animated film,Alan Menken,David Zippel,Ron Clements and John Musker,
Here Comes the Groom,1951,Musical film,Joseph J. Lilley,Lilley,Virginia Van Upp and Liam O'Brien,"Featured the Academy Award winning song ""In the Cool, Cool, Cool of the Evening""."
Here's Love,1963,Broadway,Meredith Willson,Willson,Willson,
High Button Shoes,1947,Broadway,Jule Styne,Sammy Cahn,George Abbott and Phil Silvers,
High Fidelity,2006,Broadway,Tom Kitt,Amanda Green,David Lindsay-Abaire,
High School Musical,2006,Musical film,Various artists,Various artists,Peter Barsocchini,
High School Musical 2,2007,Musical film,Various artists,Various artists,Peter Barsocchini,
High School Musical 3: Senior Year,2008,Musical film,Various artists,Various artists,Peter Barsocchini,
High Society,1998,Broadway,Cole Porter,Porter and Susan Birkenhead,Arthur Kopit,"Adaptation of the 1956 film version. Notable song: ""True Love""."
High Spirits,1964,Broadway,Hugh Martin and Timothy Gray,Martin and Gray,Martin and Gray,
The Hobbit,1977,TV musical,Maury Laws,Jules Bass,Romeo Muller,
The Hoboken Chicken Emergency,1988,Off-Off-Broadway,Chad Henry,Henry,Daniel Pinkwater,
Hold Everything!,1928,Broadway,Ray Henderson,Lew Brown and B. G. De Sylva,De Sylva and John McGowan,
Holiday Inn,2014,Broadway,Irving Berlin,Irving Berlin,Gordon Greenberg and Chad Hodge,
Holy Musical B@man!,2012,Off-Off-Broadway,Nick Gage and Scott Lamps,Gage and Lamps,Matt Lang and Nick Lang,
Home Fires,2014,British Musical,Paul Flynn,Paul Flynn,Paul Flynn,
Honk!,1993,Off-West End,George Stiles,Anthony Drewe,Drewe,
Hooray for What!,1937,Broadway,Harold Arlen,E. Y. Harburg,Howard Lindsay and Russel Crouse,
The Hot Mikado,1939,Broadway,Arthur Sullivan,W. S. Gilbert,Mike Todd,Based on Gilbert and Sullivan's The Mikado.
House of Flowers,1954,Broadway,Harold Arlen,Truman Capote and Arlen,Capote,
"How Now, Dow Jones",1967,Broadway,Elmer Bernstein,Carolyn Leigh,Max Shulman,
How to Eat Like a Child,1981,TV musical,John Forster,Forster,Judith Kahan,
How to Succeed in Business Without Really Trying,1961,Broadway,Frank Loesser,Loesser,"Abe Burrows, Jack Weinstock and Willie Gilbert","Notable songs: ""I Believe in You"" and ""Brotherhood of Man""."
